Name,ID,Yield_2+2,Yield_CO_1.5h,Yield_CO_7.5h,Yield_CO_biphenyl,Yield_CO_ortho,Yield_CO_Cl,Yield_CS,Yield_CN
4CzIPN,OPS1,74,62,92,69,50,41,99,95
4tBuCzIPN,OPS2,47,83,94,83,54,62,45,98
4MeCzIPN,OPS3,37,73,92,78,48,40,23,97
4BrCzIPN,OPS4,55,69,94,65,25,35,98,10
4OMeCzIPN,OPS5,0,33,87,52,31,24,0,33
4PhCzIPN,OPS6,22,73,94,79,52,41,36,71
4DPAIPN,OPS7,74,88,88,67,47,63,98,95
4tBuDPAIPN,OPS8,17,49,49,74,22,54,98,28
4MeDPAIPN,OPS9,29,73,74,78,40,57,99,39
4FDPAIPN,OPS10,71,89,89,63,57,70,97,80
4ClDPAIPN,OPS11,78,91,91,69,47,66,99,98
4BrDPAIPN,OPS12,74,92,92,72,24,58,99,97
3CzClIPN,OPS13,75,31,92,60,33,34,63,50
3tBuCzClIPN,OPS14,49,70,89,67,51,55,56,76
3OMeCzClIPN,OPS15,0,5,85,61,37,27,0,35
4CzPN,OPS16,58,51,89,62,46,33,54,63
4DPAPN,OPS17,6,91,91,81,57,40,4,49
4CzTPN,OPS18,13,0,75,45,37,42,9,10
4DPATPN,OPS19,2,93,93,53,51,60,13,98
1CzTRZ,OPS20,1,16,79,40,29,33,0,7
1tBuCzTRZ,OPS21,6,53,86,47,41,38,95,92
1DPATRZ,OPS22,34,21,80,31,30,34,94,99
1tBuDPATRZ,OPS23,39,16,73,28,20,30,97,82
1ClDPATRZ,OPS24,11,46,80,40,31,35,98,99
1BrDPATRZ,OPS25,24,42,85,40,13,32,97,97
1OMeDPATRZ,OPS26,12,2,59,29,21,30,32,4
1PhDPATRZ,OPS27,26,38,79,45,26,34,97,85
1PTZTRZ,OPS28,2,39,87,59,37,37,11,16
2CzBP,OPS29,2,0,3,15,14,23,0,2
2DMABP,OPS30,0,0,7,18,13,24,0,2
2DPABP,OPS31,47,1,39,14,9,27,9,99
2tBuDPABP,OPS32,51,2,36,19,14,30,81,99
2MeDPABP,OPS33,43,0,29,12,18,25,54,97
2ClDPABP,OPS34,47,1,34,13,13,22,5,99
2BrDPABP,OPS35,42,1,40,19,5,19,5,99
2PhDPABP,OPS36,58,3,57,24,14,29,96,99
2CzPN,OPS37,24,23,92,58,6,40,4,55
2tBuCzPN,OPS38,56,82,92,70,59,37,10,99
2ClCzPN,OPS39,29,7,84,52,35,30,3,23
1tBuDPAN,OPS40,0,0,31,6,8,9,0,1
PNZN,OPS41,3,5,62,11,1,9,10,2
biphenylPNZN,OPS42,62,3,51,38,3,18,7,43
PTZN,OPS43,1,3,61,10,11,18,2,1
biphenylPTZN,OPS44,76,10,69,42,13,14,90,50
CF3PTZN,OPS45,49,11,68,15,11,21,95,19
2DPAB,OPS46,0,0,34,7,9,15,0,1
2DPAN,OPS47,1,0,38,18,6,24,4,2
2tBuDPAN,OPS48,1,2,35,25,5,22,53,9
2MeDPAN,OPS49,1,0,24,15,6,12,0,7
2DPAA,OPS50,0,4,75,57,36,43,2,2
2tBuDPAA,OPS51,0,0,57,33,18,28,2,1
2MeDPAA,OPS52,0,1,57,48,30,34,2,2
2OMeDPAA,OPS53,0,0,9,8,7,1,0,2
3CzNB,OPS54,0,0,0,4,6,0,0,0
3DPANB,OPS55,2,0,15,1,8,0,0,16
3MeDPANB,OPS56,0,0,0,12,8,0,0,8
3BrDPANB,OPS57,8,0,52,12,9,9,0,5
2CzAQ,OPS58,0,0,0,3,12,0,0,0
2DPAAQ,OPS59,0,0,0,0,0,0,0,0
2DPASF,OPS60,0,0,1,3,3,0,0,2
2tBuDPASF,OPS61,1,0,28,3,10,21,0,2
2MeDPASF,OPS62,0,0,22,4,7,13,0,4
CF3PhDPZ,OPS63,15,0,14,1,9,3,2,9
OMePhDPZ,OPS64,1,0,0,0,0,0,0,4
NapDPZ,OPS65,10,0,3,2,8,0,0,8
3DPA2FBN,OPS66,65,36,52,83,24,46,5,87
5CzBN,OPS67,79,42,87,76,53,54,17,99
2DPABz,OPS68,0,0,12,34,10,24,0,0
DPABT,OPS69,1,0,48,21,9,21,0,4
PhPNZ,OPS70,0,0,0,6,2,10,0,4
PhPTZ,OPS71,0,0,44,8,16,22,0,1
ph_bPTZ,OPS72,7,12,70,21,10,40,59,3
9_10_DPA,OPS73,0,0,0,1,1,7,0,2
9_10_DAA,OPS74,0,0,4,3,5,12,0,2
perylene,OPS75,0,0,0,39,24,19,94,56
9_10_DCA,OPS76,0,0,5,23,11,2,0,0
3_5_diMePh_PDI,OPS77,0,0,0,0,0,0,0,0
Ph_NDI,OPS78,9,0,0,0,0,0,0,0
Me_TAPB,OPS79,0,0,15,12,5,5,0,2
Ph_TAPB,OPS80,0,0,36,6,35,17,0,2
