Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_iso,Yield
4OMeCzIPN,OPS5,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,6.2109,0,0,0,0,1,4
4MeDPAIPN,OPS9,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,5.3216,0,0,0,0,1,91
1CzTRZ,OPS20,-0.19896,-0.07101,3.8438,0.8106,3.3406,0.5032,10.6241,0,0,0,0,1,1
1tBuDPATRZ,OPS23,-0.18284,-0.05984,3.4961,1.167,2.896,0.6001,11.353,0,0,0,0,1,56
1PhDPATRZ,OPS27,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,10.9857,0,0,0,0,1,41
2DPABP,OPS31,-0.18647,-0.05342,3.6117,1.1705,3.0476,0.5641,1.9736,0,0,0,0,1,59
2ClDPABP,OPS34,-0.19983,-0.06696,3.6407,1.1958,3.0588,0.5819,2.02,0,0,0,0,1,49
biphenylPTZN,OPS44,-0.17757,-0.05224,3.6231,0.4335,3.118,0.5051,1.396,0,0,0,0,1,92
2DPAAQ,OPS59,-0.19071,-0.08747,2.9778,0,2.4274,0.5504,0,0,0,0,0,1,0
C_498,OPS83,-0.20665,-0.07117,3.6474,1.017,2.5708,1.0766,5.6988,0,0,0,0,1,5
