Name,ID,HOMO,E_S1,f_S1,E_T1,dEST,dDM,P(dDM) * P(E_S1),P(dEST) * P(f_S1),P(E_S1) + P(f_S1),P(f_S1) - P(HOMO),P(HOMO) / P(f_S1),P(dDM) / P(E_S1),Reaction_CS,Reaction_CN,Reaction_2+2,Reaction_iso,Yield
4CzIPN,OPS1,-0.20639,3.262,0.185,3.033,0.229,4.7544,0.2574,0.044,0.83,0.16,0.636363636,1.692307692,1,0,0,0,99
4tBuCzIPN,OPS2,-0.19621,3.1887,0.1207,2.9803,0.2084,6.4563,0.2436,0.0224,0.61,-0.13,1.40625,2.896551724,1,0,0,0,45
4MeCzIPN,OPS3,-0.19686,3.1729,0.1881,2.9538,0.2191,5.2836,0.1988,0.036,0.73,0.015,0.966666667,2.535714286,1,0,0,0,23
4BrCzIPN,OPS4,-0.2236,3.1927,0.1235,3.0271,0.1656,6.287,0.243,0.0132,0.63,0.18,0.454545455,2.7,1,0,0,0,98
4OMeCzIPN,OPS5,-0.1854,3.0441,0.1658,2.8555,0.1886,6.3647,0.123,0.0205,0.56,-0.25,1.609756098,5.466666667,1,0,0,0,0
4PhCzIPN,OPS6,-0.19569,3.1279,0.0199,3.0439,0.084,10.3465,0.2325,0.0021,0.46,-0.26,2.238095238,3.72,1,0,0,0,36
4DPAIPN,OPS7,-0.19312,3.1324,0.1749,2.7578,0.3746,5.8383,0.1924,0.1176,0.68,-0.06,1.142857143,2.846153846,1,0,0,0,98
4tBuDPAIPN,OPS8,-0.18604,3.0323,0.1249,2.7092,0.3231,6.9916,0.119,0.0663,0.48,-0.29,1.852941176,6.071428571,1,0,0,0,98
4MeDPAIPN,OPS9,-0.17956,3.0266,0.2025,2.7414,0.2852,5.4777,0.0936,0.0672,0.61,-0.3,1.625,5.538461538,1,0,0,0,99
4FDPAIPN,OPS10,-0.19846,3.0458,0.1753,2.6241,0.4217,2.7916,0.088,0.1548,0.59,0.03,0.930232558,3.4375,1,0,0,0,97
4ClDPAIPN,OPS11,-0.21058,3.0915,0.2171,2.8025,0.289,4.8527,0.1428,0.0784,0.7,0.27,0.448979592,3.238095238,1,0,0,0,99
4BrDPAIPN,OPS12,-0.21247,3.0949,0.1964,2.7429,0.352,5.9765,0.1672,0.1081,0.69,0.26,0.446808511,3.454545455,1,0,0,0,99
3CzClIPN,OPS13,-0.21353,3.197,0.1616,3.0508,0.1462,1.698,0.1376,0.012,0.72,0.2,0.5,1.34375,1,0,0,0,63
3tBuCzClIPN,OPS14,-0.20437,3.2311,0.1443,2.9647,0.2664,5.5488,0.2482,0.0456,0.72,0.05,0.868421053,2.147058824,1,0,0,0,56
3OMeCzClIPN,OPS15,-0.19139,3.0702,0.15,2.816,0.2542,6.1678,0.136,0.0429,0.56,-0.11,1.282051282,4.705882353,1,0,0,0,0
4CzPN,OPS16,-0.20875,3.3208,0.0603,2.9977,0.3231,8.1375,0.3872,0.04875,0.69,0.02,0.92,2,1,0,0,0,54
4DPAPN,OPS17,-0.19091,3.1116,0.0363,2.7239,0.3877,7.1007,0.2064,0.0768,0.48,-0.27,2.125,3.583333333,1,0,0,0,4
4CzTPN,OPS18,-0.20627,3.083,0.2632,2.86,0.223,0.0023,0.03,0.0495,0.75,0.26,0.527272727,0.75,1,0,0,0,9
4DPATPN,OPS19,-0.18716,2.8199,0.2384,2.4316,0.3883,1.1653,0.0155,0.1716,0.57,-0.09,1.173076923,6.2,1,0,0,0,13
1CzTRZ,OPS20,-0.19896,3.8438,0.8106,3.3406,0.5032,10.618,0.893,0.3182,1.68,0.35,0.527027027,1.010638298,1,0,0,0,0
1tBuCzTRZ,OPS21,-0.19256,3.7237,0.8453,3.262,0.4617,12.6968,0.86,0.3,1.61,0.26,0.653333333,1.162790698,1,0,0,0,95
1DPATRZ,OPS22,-0.18787,3.5635,1.1287,2.9505,0.613,10.481,0.658,0.5655,1.57,0.29,0.666666667,1.342857143,1,0,0,0,94
1tBuDPATRZ,OPS23,-0.18284,3.4961,1.167,2.896,0.6001,11.4943,0.5978,0.5544,1.49,0.16,0.818181818,1.606557377,1,0,0,0,97
1ClDPATRZ,OPS24,-0.19729,3.6168,1.114,3.022,0.5948,10.0814,0.69,0.5208,1.59,0.43,0.488095238,1.226666667,1,0,0,0,98
1BrDPATRZ,OPS25,-0.19686,3.6164,1.1245,3.0295,0.5869,9.9429,0.6734,0.516,1.6,0.425,0.505813953,1.22972973,1,0,0,0,97
1OMeDPATRZ,OPS26,-0.17664,3.4627,1.1816,2.8529,0.6098,11.8605,0.5643,0.5824,1.48,0.07,0.923076923,1.736842105,1,0,0,0,32
1PhDPATRZ,OPS27,-0.18459,3.4584,1.2285,2.9161,0.5423,10.9955,0.5432,0.4655,1.51,0.28,0.705263158,1.732142857,1,0,0,0,97
1PTZTRZ,OPS28,-0.18237,3.552,0.0001,3.4653,0.0867,8.0495,0.5829,0.0025,0.795,-0.605,5.84,1.298507463,1,0,0,0,11
2CzBP,OPS29,-0.20318,3.7099,0.0185,3.2,0.5099,0.1285,0.1494,0.09,1.03,-0.14,1.7,0.21686747,1,0,0,0,0
2DMABP,OPS30,-0.18839,3.8921,0.0113,3.2177,0.6744,1.3981,0.3686,0.1406,1.16,-0.38,3,0.391752577,1,0,0,0,0
2DPABP,OPS31,-0.18647,3.6117,1.1705,3.0476,0.5641,2.221,0.3456,0.4717,1.61,0.27,0.696629213,0.666666667,1,0,0,0,9
2tBuDPABP,OPS32,-0.18033,3.5525,1.2289,3.0124,0.5401,2.6577,0.3604,0.4608,1.64,0.2,0.791666667,0.779411765,1,0,0,0,81
2MeDPABP,OPS33,-0.18065,3.5628,1.2249,3.0017,0.5611,2.8512,0.3864,0.4794,1.63,0.19,0.79787234,0.811594203,1,0,0,0,54
2ClDPABP,OPS34,-0.19983,3.6407,1.1958,3.0588,0.5819,2.2934,0.392,0.5428,1.72,0.55,0.402173913,0.6125,1,0,0,0,5
2BrDPABP,OPS35,-0.19934,3.6355,1.2161,3.061,0.5745,2.2171,0.3619,0.5301,1.7,0.55,0.408602151,0.61038961,1,0,0,0,5
2PhDPABP,OPS36,-0.18364,3.4923,1.3807,3.0058,0.4865,2.4829,0.309,0.4158,1.59,0.28,0.717171717,0.858333333,1,0,0,0,96
2CzPN,OPS37,-0.21407,3.5246,0.1345,3.1201,0.4045,8.9235,0.5518,0.126,0.98,0.17,0.527777778,1.435483871,1,0,0,0,4
2tBuCzPN,OPS38,-0.20513,3.3855,0.1164,3.0249,0.3606,10.6589,0.4704,0.072,0.79,-0.02,1.066666667,1.959183673,1,0,0,0,10
2ClCzPN,OPS39,-0.22798,3.5473,0.1024,3.1826,0.3647,9.5656,0.594,0.0754,0.95,0.16,0.448275862,1.363636364,1,0,0,0,3
1tBuDPAN,OPS40,-0.17692,3.7082,0.2172,3.0394,0.6688,3.7692,0.5002,0.36,1.32,-0.33,1.66,0.743902439,1,0,0,0,0
PNZN,OPS41,-0.17142,3.5257,0,3.3342,0.1915,0.2419,0.1449,0.0036,0.69,-0.84,15,0.365079365,1,0,0,0,10
biphenylPNZN,OPS42,-0.17067,3.4578,0.0005,2.9913,0.4665,2.335,0.275,0.0615,0.7,-0.76,6.066666667,0.909090909,1,0,0,0,7
PTZN,OPS43,-0.17982,3.76,0.0003,3.3275,0.4325,0.14,0.1653,0.0518,1.01,-0.63,5.5,0.218390805,1,0,0,0,2
biphenylPTZN,OPS44,-0.17757,3.6231,0.4335,3.118,0.5051,1.4197,0.304,0.2948,1.43,-0.14,1.208955224,0.526315789,1,0,0,0,90
CF3PTZN,OPS45,-0.18961,3.6146,0.3629,3.1037,0.5109,2.0169,0.3285,0.2852,1.35,0.06,0.903225806,0.616438356,1,0,0,0,95
2DPAB,OPS46,-0.16958,3.8658,0.0227,3.291,0.5748,0,0.07125,0.1276,1.17,-0.71,4.227272727,0.078947368,1,0,0,0,0
2DPAN,OPS47,-0.17654,3.4914,0.4022,2.8244,0.667,1.3985,0.2301,0.4615,1.24,-0.2,1.307692308,0.661016949,1,0,0,0,4
2tBuDPAN,OPS48,-0.17028,3.4103,0.4193,2.784,0.6263,1.6284,0.2091,0.4422,1.17,-0.26,1.393939394,0.803921569,1,0,0,0,53
2MeDPAN,OPS49,-0.16909,3.3744,0.4004,2.7522,0.6222,1.6649,0.2016,0.4224,1.12,-0.3,1.46875,0.875,1,0,0,0,0
2DPAA,OPS50,-0.17836,2.9725,0.2857,2.1241,0.8484,0,0.006,0.4897,0.67,-0.21,1.355932203,0.9375,1,0,0,0,2
2tBuDPAA,OPS51,-0.17252,2.8792,0.2813,2.1027,0.7765,0.0152,0.0119,0.4698,0.65,-0.3,1.517241379,2.428571429,1,0,0,0,2
2MeDPAA,OPS52,-0.17204,2.8733,0.2734,2.1007,0.7726,0.0098,0.0096,0.448,0.62,-0.33,1.589285714,2.666666667,1,0,0,0,2
2OMeDPAA,OPS53,-0.16348,2.7205,0.254,2.0389,0.6816,0,0.00225,0.405,0.57,-0.43,1.796296296,2.5,1,0,0,0,0
3CzNB,OPS54,-0.20716,3.4177,0.0669,3.0551,0.3626,1.2401,0.1802,0.065,0.79,0.01,0.961538462,0.641509434,1,0,0,0,0
3DPANB,OPS55,-0.18594,3.1973,0.0899,2.9176,0.2797,4.1276,0.2046,0.0364,0.61,-0.36,2.285714286,1.878787879,1,0,0,0,0
3MeDPANB,OPS56,-0.17746,3.1371,0.1188,2.832,0.3051,4.7899,0.1809,0.0527,0.58,-0.51,2.64516129,2.481481481,1,0,0,0,0
3BrDPANB,OPS57,-0.20296,3.2471,0.1278,2.8964,0.3507,4.726,0.2405,0.077,0.72,0,1,1.756756757,1,0,0,0,0
2CzAQ,OPS58,-0.20593,3.1012,0,2.7358,0.3654,0,0.01725,0.0162,0.29,-0.24,5,0.326086957,1,0,0,0,0
2DPAAQ,OPS59,-0.19071,2.9778,0,2.4274,0.5504,0,0.0075,0.03,0.16,-0.46,8.666666667,0.75,1,0,0,0,0
2DPASF,OPS60,-0.19054,3.8676,0.907,3.2936,0.574,3.101,0.5568,0.4256,1.72,0.22,0.710526316,0.604166667,1,0,0,0,0
2tBuDPASF,OPS61,-0.18418,3.8148,0.9369,3.2521,0.5627,3.499,0.54,0.4108,1.69,0.1,0.873417722,0.666666667,1,0,0,0,0
2MeDPASF,OPS62,-0.18439,3.8224,0.9468,3.2533,0.5691,3.442,0.5428,0.4455,1.73,0.13,0.839506173,0.641304348,1,0,0,0,0
CF3PhDPZ,OPS63,-0.1619,3.3175,0,2.9345,0.383,0,0.03225,0.018,0.49,-0.92,16.33333333,0.174418605,1,0,0,0,2
OMePhDPZ,OPS64,-0.14485,3.4138,0,2.897,0.5168,0,0.039,0.0282,0.58,-0.94,16.66666667,0.144230769,1,0,0,0,0
NapDPZ,OPS65,-0.15201,3.3012,0,2.9882,0.313,0.1586,0.0924,0.0108,0.48,-0.93,16.5,0.523809524,1,0,0,0,0
3DPA2FBN,OPS66,-0.18763,3.3289,0.2519,2.9793,0.3496,3.0925,0.2565,0.1113,0.98,-0.06,1.113207547,1.266666667,1,0,0,0,5
5CzBN,OPS67,-0.20063,3.5356,0.2762,3.2477,0.2879,5.0308,0.4416,0.0855,1.21,0.21,0.631578947,1.078125,1,0,0,0,17
2DPABz,OPS68,-0.19069,3.0227,0.0037,2.5871,0.4356,0.1528,0.0252,0.0646,0.29,-0.36,3.117647059,1.75,1,0,0,0,0
DPABT,OPS69,-0.18556,3.5717,1.3009,2.8871,0.6846,6.0169,0.5467,0.7372,1.68,0.32,0.670103093,1.084507042,1,0,0,0,0
PhPNZ,OPS70,-0.16899,3.9776,0.035,3.3033,0.6743,0.8448,0.2772,0.1679,1.22,-0.72,4.130434783,0.282828283,1,0,0,0,0
PhPTZ,OPS71,-0.16887,3.713,0.0109,3.1473,0.5657,0.3078,0.204,0.0972,1.03,-0.78,5.333333333,0.282352941,1,0,0,0,0
ph_bPTZ,OPS72,-0.17426,3.7625,0.223,3.1359,0.6266,4.6753,0.5632,0.3468,1.39,-0.35,1.68627451,0.727272727,1,0,0,0,59
9_10_DPA,OPS73,-0.1872,3.639,0.3496,2.3196,1.3194,0,0.05925,0.5917,1.4,0.01,0.983606557,0.094936709,1,0,0,0,0
9_10_DAA,OPS74,-0.18384,3.6356,0.3763,2.318,1.3176,0,0.0585,0.6048,1.41,-0.07,1.111111111,0.096153846,1,0,0,0,0
perylene,OPS75,-0.18188,3.196,0.791,2.0783,1.1177,0,0.02325,0.6643,1.04,-0.01,1.01369863,0.241935484,1,0,0,0,94
9_10_DCA,OPS76,-0.22657,3.2747,0.3366,2.003,1.2717,0,0.03,0.552,1,0.46,0.233333333,0.1875,1,0,0,0,0
3_5_diMePh_PDI,OPS77,-0.21763,2.7184,1.4659,1.7085,1.0099,0,0.0015,0.85,1.02,0.82,0.18,3.75,1,0,0,0,0
