Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dEST,dDM,Reaction_CO_7.5h,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzIPN,OPS1,-0.20639,-0.0888,3.262,0.185,3.033,0.229,4.6952,1,0,0,0,92
4tBuCzIPN,OPS2,-0.19621,-0.08203,3.1887,0.1207,2.9803,0.2084,6.1138,1,0,0,0,94
4MeCzIPN,OPS3,-0.19686,-0.08286,3.1729,0.1881,2.9538,0.2191,5.1244,1,0,0,0,92
4BrCzIPN,OPS4,-0.2236,-0.11433,3.1927,0.1235,3.0271,0.1656,6.2874,1,0,0,0,94
4OMeCzIPN,OPS5,-0.1854,-0.07855,3.0441,0.1658,2.8555,0.1886,6.2109,1,0,0,0,87
4PhCzIPN,OPS6,-0.19569,-0.09205,3.1279,0.0199,3.0439,0.084,10.1616,1,0,0,0,94
4DPAIPN,OPS7,-0.19312,-0.07487,3.1324,0.1749,2.7578,0.3746,5.9165,1,0,0,0,88
4tBuDPAIPN,OPS8,-0.18604,-0.07053,3.0323,0.1249,2.7092,0.3231,6.9252,1,0,0,0,49
4MeDPAIPN,OPS9,-0.17956,-0.06622,3.0266,0.2025,2.7414,0.2852,5.3216,1,0,0,0,74
4FDPAIPN,OPS10,-0.19846,-0.08545,3.0458,0.1753,2.6241,0.4217,2.8928,1,0,0,0,89
4ClDPAIPN,OPS11,-0.21058,-0.09706,3.0915,0.2171,2.8025,0.289,4.7062,1,0,0,0,91
4BrDPAIPN,OPS12,-0.21247,-0.09943,3.0949,0.1964,2.7429,0.352,6.0311,1,0,0,0,92
3CzClIPN,OPS13,-0.21353,-0.09727,3.197,0.1616,3.0508,0.1462,1.5389,1,0,0,0,92
3tBuCzClIPN,OPS14,-0.20437,-0.09025,3.2311,0.1443,2.9647,0.2664,5.4178,1,0,0,0,89
3OMeCzClIPN,OPS15,-0.19139,-0.08693,3.0702,0.15,2.816,0.2542,6.0345,1,0,0,0,85
4CzPN,OPS16,-0.20875,-0.09408,3.3208,0.0603,2.9977,0.3231,7.9573,1,0,0,0,89
4DPAPN,OPS17,-0.19091,-0.07659,3.1116,0.0363,2.7239,0.3877,6.8817,1,0,0,0,91
4CzTPN,OPS18,-0.20627,-0.0993,3.083,0.2632,2.86,0.223,0.0023,1,0,0,0,75
4DPATPN,OPS19,-0.18716,-0.07998,2.8199,0.2384,2.4316,0.3883,1.2336,1,0,0,0,93
1CzTRZ,OPS20,-0.19896,-0.07101,3.8438,0.8106,3.3406,0.5032,10.6241,1,0,0,0,79
1tBuCzTRZ,OPS21,-0.19256,-0.06941,3.7237,0.8453,3.262,0.4617,12.5316,1,0,0,0,86
1DPATRZ,OPS22,-0.18787,-0.06162,3.5635,1.1287,2.9505,0.613,10.4896,1,0,0,0,80
1tBuDPATRZ,OPS23,-0.18284,-0.05984,3.4961,1.167,2.896,0.6001,11.353,1,0,0,0,73
1ClDPATRZ,OPS24,-0.19729,-0.06844,3.6168,1.114,3.022,0.5948,9.9926,1,0,0,0,80
1BrDPATRZ,OPS25,-0.19686,-0.06856,3.6164,1.1245,3.0295,0.5869,9.9662,1,0,0,0,85
1OMeDPATRZ,OPS26,-0.17664,-0.05799,3.4627,1.1816,2.8529,0.6098,11.8434,1,0,0,0,59
1PhDPATRZ,OPS27,-0.18459,-0.06306,3.4584,1.2285,2.9161,0.5423,10.9857,1,0,0,0,79
1PTZTRZ,OPS28,-0.18237,-0.07461,3.552,0.0001,3.4653,0.0867,7.9638,1,0,0,0,87
2CzBP,OPS29,-0.20318,-0.07263,3.7099,0.0185,3.2,0.5099,0.3507,1,0,0,0,3
2DMABP,OPS30,-0.18839,-0.03296,3.8921,0.0113,3.2177,0.6744,1.0068,1,0,0,0,7
2DPABP,OPS31,-0.18647,-0.05342,3.6117,1.1705,3.0476,0.5641,1.9736,1,0,0,0,39
2tBuDPABP,OPS32,-0.18033,-0.04947,3.5525,1.2289,3.0124,0.5401,2.2877,1,0,0,0,36
2MeDPABP,OPS33,-0.18065,-0.04943,3.5628,1.2249,3.0017,0.5611,2.5537,1,0,0,0,29
2ClDPABP,OPS34,-0.19983,-0.06696,3.6407,1.1958,3.0588,0.5819,2.02,1,0,0,0,34
2BrDPABP,OPS35,-0.19934,-0.06713,3.6355,1.2161,3.061,0.5745,2.0281,1,0,0,0,40
2PhDPABP,OPS36,-0.18364,-0.05648,3.4923,1.3807,3.0058,0.4865,2.2316,1,0,0,0,57
2CzPN,OPS37,-0.21407,-0.09152,3.5246,0.1345,3.1201,0.4045,8.6565,1,0,0,0,92
2tBuCzPN,OPS38,-0.20513,-0.08754,3.3855,0.1164,3.0249,0.3606,10.0687,1,0,0,0,92
2ClCzPN,OPS39,-0.22798,-0.10735,3.5473,0.1024,3.1826,0.3647,9.166,1,0,0,0,84
1tBuDPAN,OPS40,-0.17692,-0.03796,3.7082,0.2172,3.0394,0.6688,3.7057,1,0,0,0,31
PNZN,OPS41,-0.17142,-0.04905,3.5257,0,3.3342,0.1915,0.2832,1,0,0,0,62
biphenylPNZN,OPS42,-0.17067,-0.05197,3.4578,0.0005,2.9913,0.4665,2.2556,1,0,0,0,51
PTZN,OPS43,-0.17982,-0.04987,3.76,0.0003,3.3275,0.4325,0.2077,1,0,0,0,61
biphenylPTZN,OPS44,-0.17757,-0.05224,3.6231,0.4335,3.118,0.5051,1.396,1,0,0,0,69
CF3PTZN,OPS45,-0.18961,-0.0591,3.6146,0.3629,3.1037,0.5109,1.5781,1,0,0,0,68
