Name,ID,HOMO,E_S1,f_S1,E_T1,dDM,P(dDM) * P(E_S1),P(dDM) * P(dEST),P(dEST) * P(f_S1),P(dDM) + P(dEST),P(dEST) + P(E_S1),P(dDM) - P(f_S1),P(f_S1) - P(HOMO),Reaction_CO_1.5h,Reaction_CO_7.5h,Reaction_CO_biphenyl,Reaction_CO_ortho,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzIPN,OPS1,-0.20639,3.262,0.185,3.033,4.6952,0.2613,0.067,0.044,0.77,0.49,0.23,0.16,0,0,0,0,0,0,0,1,74
4tBuCzIPN,OPS2,-0.19621,3.1887,0.1207,2.9803,6.1138,0.2349,0.0567,0.0224,0.88,0.36,0.49,-0.13,0,0,0,0,0,0,0,1,47
4MeCzIPN,OPS3,-0.19686,3.1729,0.1881,2.9538,5.1244,0.196,0.056,0.036,0.78,0.36,0.25,0.015,0,0,0,0,0,0,0,1,37
4BrCzIPN,OPS4,-0.2236,3.1927,0.1235,3.0271,6.2874,0.249,0.0332,0.0132,0.87,0.34,0.5,0.18,0,0,0,0,0,0,0,1,55
4OMeCzIPN,OPS5,-0.1854,3.0441,0.1658,2.8555,6.2109,0.123,0.041,0.0205,0.87,0.2,0.41,-0.25,0,0,0,0,0,0,0,1,0
4PhCzIPN,OPS6,-0.19569,3.1279,0.0199,3.0439,10.1616,0.235,0.0094,0.0021,0.95,0.26,0.73,-0.26,0,0,0,0,0,0,0,1,22
4DPAIPN,OPS7,-0.19312,3.1324,0.1749,2.7578,5.9165,0.2002,0.2156,0.1176,1.05,0.54,0.35,-0.06,0,0,0,0,0,0,0,1,74
4tBuDPAIPN,OPS8,-0.18604,3.0323,0.1249,2.7092,6.9252,0.1204,0.1677,0.0663,1.055,0.335,0.52,-0.29,0,0,0,0,0,0,0,1,17
4MeDPAIPN,OPS9,-0.17956,3.0266,0.2025,2.7414,5.3216,0.0949,0.1022,0.0672,0.87,0.27,0.25,-0.3,0,0,0,0,0,0,0,1,29
4FDPAIPN,OPS10,-0.19846,3.0458,0.1753,2.6241,2.8928,0.0896,0.2016,0.1548,0.92,0.52,0.13,0.03,0,0,0,0,0,0,0,1,71
4ClDPAIPN,OPS11,-0.21058,3.0915,0.2171,2.8025,4.7062,0.1428,0.1088,0.0784,0.84,0.37,0.19,0.27,0,0,0,0,0,0,0,1,78
4BrDPAIPN,OPS12,-0.21247,3.0949,0.1964,2.7429,6.0311,0.1716,0.1794,0.1081,1.01,0.45,0.31,0.26,0,0,0,0,0,0,0,1,74
3CzClIPN,OPS13,-0.21353,3.197,0.1616,3.0508,1.5389,0.1248,0.0117,0.012,0.42,0.35,-0.01,0.2,0,0,0,0,0,0,0,1,75
3tBuCzClIPN,OPS14,-0.20437,3.2311,0.1443,2.9647,5.4178,0.2516,0.0888,0.0456,0.86,0.46,0.36,0.05,0,0,0,0,0,0,0,1,49
3OMeCzClIPN,OPS15,-0.19139,3.0702,0.15,2.816,6.0345,0.1343,0.0869,0.0429,0.9,0.28,0.4,-0.11,0,0,0,0,0,0,0,1,0
4CzPN,OPS16,-0.20875,3.3208,0.0603,2.9977,7.9573,0.3828,0.16965,0.04875,1.065,0.635,0.62,0.02,0,0,0,0,0,0,0,1,58
4DPAPN,OPS17,-0.19091,3.1116,0.0363,2.7239,6.8817,0.204,0.272,0.0768,1.17,0.56,0.61,-0.27,0,0,0,0,0,0,0,1,6
4CzTPN,OPS18,-0.20627,3.083,0.2632,2.86,0.0023,0.031,0.01395,0.0495,0.245,0.29,-0.395,0.26,0,0,0,0,0,0,0,1,13
4DPATPN,OPS19,-0.18716,2.8199,0.2384,2.4316,1.2336,0.016,0.1056,0.1716,0.65,0.38,-0.2,-0.09,0,0,0,0,0,0,0,1,2
1CzTRZ,OPS20,-0.19896,3.8438,0.8106,3.3406,10.6241,0.9024,0.4128,0.3182,1.39,1.37,0.22,0.35,0,0,0,0,0,0,0,1,1
1tBuCzTRZ,OPS21,-0.19256,3.7237,0.8453,3.262,12.5316,0.86,0.4,0.3,1.4,1.26,0.25,0.26,0,0,0,0,0,0,0,1,6
1DPATRZ,OPS22,-0.18787,3.5635,1.1287,2.9505,10.4896,0.665,0.6175,0.5655,1.6,1.35,0.08,0.29,0,0,0,0,0,0,0,1,34
1tBuDPATRZ,OPS23,-0.18284,3.4961,1.167,2.896,11.353,0.5978,0.6174,0.5544,1.61,1.24,0.1,0.16,0,0,0,0,0,0,0,1,39
1ClDPATRZ,OPS24,-0.19729,3.6168,1.114,3.022,9.9926,0.69,0.5704,0.5208,1.54,1.37,0.08,0.43,0,0,0,0,0,0,0,1,11
1BrDPATRZ,OPS25,-0.19686,3.6164,1.1245,3.0295,9.9662,0.6734,0.546,0.516,1.51,1.34,0.05,0.425,0,0,0,0,0,0,0,1,24
1OMeDPATRZ,OPS26,-0.17664,3.4627,1.1816,2.8529,11.8434,0.5643,0.6336,0.5824,1.63,1.21,0.08,0.07,0,0,0,0,0,0,0,1,12
1PhDPATRZ,OPS27,-0.18459,3.4584,1.2285,2.9161,10.9857,0.5432,0.4753,0.4655,1.46,1.05,0.02,0.28,0,0,0,0,0,0,0,1,26
1PTZTRZ,OPS28,-0.18237,3.552,0.0001,3.4653,7.9638,0.5896,0.0176,0.0025,0.9,0.69,0.755,-0.605,0,0,0,0,0,0,0,1,2
2CzBP,OPS29,-0.20318,3.7099,0.0185,3.2,0.3507,0.1992,0.108,0.09,0.69,1.28,0.04,-0.14,0,0,0,0,0,0,0,1,2
2DMABP,OPS30,-0.18839,3.8921,0.0113,3.2177,1.0068,0.2813,0.2146,0.1406,1.03,1.71,0.1,-0.38,0,0,0,0,0,0,0,1,0
2DPABP,OPS31,-0.18647,3.6117,1.1705,3.0476,1.9736,0.3312,0.2438,0.4717,0.99,1.25,-0.43,0.27,0,0,0,0,0,0,0,1,47
2tBuDPABP,OPS32,-0.18033,3.5525,1.2289,3.0124,2.2877,0.3536,0.2496,0.4608,1,1.16,-0.44,0.2,0,0,0,0,0,0,0,1,51
2MeDPABP,OPS33,-0.18065,3.5628,1.2249,3.0017,2.5537,0.3726,0.2754,0.4794,1.05,1.2,-0.4,0.19,0,0,0,0,0,0,0,1,43
2ClDPABP,OPS34,-0.19983,3.6407,1.1958,3.0588,2.02,0.376,0.2773,0.5428,1.06,1.39,-0.45,0.55,0,0,0,0,0,0,0,1,47
2BrDPABP,OPS35,-0.19934,3.6355,1.2161,3.061,2.0281,0.3696,0.2736,0.5301,1.05,1.34,-0.45,0.55,0,0,0,0,0,0,0,1,42
2PhDPABP,OPS36,-0.18364,3.4923,1.3807,3.0058,2.2316,0.3,0.21,0.4158,0.92,1.02,-0.49,0.28,0,0,0,0,0,0,0,1,58
2CzPN,OPS37,-0.21407,3.5246,0.1345,3.1201,8.6565,0.5518,0.3115,0.126,1.24,0.97,0.53,0.17,0,0,0,0,0,0,0,1,24
2tBuCzPN,OPS38,-0.20513,3.3855,0.1164,3.0249,10.0687,0.4557,0.2232,0.072,1.17,0.73,0.63,-0.02,0,0,0,0,0,0,0,1,56
2ClCzPN,OPS39,-0.22798,3.5473,0.1024,3.1826,9.166,0.594,0.234,0.0754,1.16,0.92,0.61,0.16,0,0,0,0,0,0,0,1,29
1tBuDPAN,OPS40,-0.17692,3.7082,0.2172,3.0394,3.7057,0.5002,0.4392,0.36,1.33,1.54,0.11,-0.33,0,0,0,0,0,0,0,1,0
PNZN,OPS41,-0.17142,3.5257,0,3.3342,0.2832,0.1386,0.0132,0.0036,0.28,0.69,0.16,-0.84,0,0,0,0,0,0,0,1,3
biphenylPNZN,OPS42,-0.17067,3.4578,0.0005,2.9913,2.2556,0.2805,0.2091,0.0615,0.92,0.96,0.36,-0.76,0,0,0,0,0,0,0,1,62
PTZN,OPS43,-0.17982,3.76,0.0003,3.3275,0.2077,0.174,0.074,0.0518,0.57,1.24,0.06,-0.63,0,0,0,0,0,0,0,1,1
biphenylPTZN,OPS44,-0.17757,3.6231,0.4335,3.118,1.396,0.2736,0.1584,0.2948,0.8,1.2,-0.31,-0.14,0,0,0,0,0,0,0,1,76
CF3PTZN,OPS45,-0.18961,3.6146,0.3629,3.1037,1.5781,0.292,0.184,0.2852,0.86,1.19,-0.22,0.06,0,0,0,0,0,0,0,1,49
2DPAB,OPS46,-0.16958,3.8658,0.0227,3.291,0,0.07125,0.0435,0.1276,0.655,1.53,-0.145,-0.71,0,0,0,0,0,0,0,1,0
2DPAN,OPS47,-0.17654,3.4914,0.4022,2.8244,1.4109,0.2242,0.2698,0.4615,1.09,1.3,-0.27,-0.2,0,0,0,0,0,0,0,1,1
2tBuDPAN,OPS48,-0.17028,3.4103,0.4193,2.784,1.6044,0.2091,0.2747,0.4422,1.08,1.18,-0.25,-0.26,0,0,0,0,0,0,0,1,1
2MeDPAN,OPS49,-0.16909,3.3744,0.4004,2.7522,1.6494,0.2016,0.2772,0.4224,1.08,1.14,-0.22,-0.3,0,0,0,0,0,0,0,1,1
2DPAA,OPS50,-0.17836,2.9725,0.2857,2.1241,0,0.006,0.06225,0.4897,0.905,0.91,-0.515,-0.21,0,0,0,0,0,0,0,1,0
2tBuDPAA,OPS51,-0.17252,2.8792,0.2813,2.1027,0.0088,0.0119,0.1377,0.4698,0.98,0.88,-0.41,-0.3,0,0,0,0,0,0,0,1,0
2MeDPAA,OPS52,-0.17204,2.8733,0.2734,2.1007,0.0023,0.0093,0.124,0.448,0.955,0.86,-0.405,-0.33,0,0,0,0,0,0,0,1,0
2OMeDPAA,OPS53,-0.16348,2.7205,0.254,2.0389,0,0.00225,0.05625,0.405,0.825,0.78,-0.465,-0.43,0,0,0,0,0,0,0,1,0
3CzNB,OPS54,-0.20716,3.4177,0.0669,3.0551,1.3584,0.1855,0.0875,0.065,0.6,0.78,0.09,0.01,0,0,0,0,0,0,0,1,0
3DPANB,OPS55,-0.18594,3.1973,0.0899,2.9176,4.0204,0.2046,0.0806,0.0364,0.75,0.46,0.34,-0.36,0,0,0,0,0,0,0,1,2
3MeDPANB,OPS56,-0.17746,3.1371,0.1188,2.832,4.5939,0.1755,0.1105,0.0527,0.82,0.44,0.34,-0.51,0,0,0,0,0,0,0,1,0
3BrDPANB,OPS57,-0.20296,3.2471,0.1278,2.8964,4.5406,0.2368,0.1408,0.077,0.86,0.59,0.29,0,0,0,0,0,0,0,0,1,8
2CzAQ,OPS58,-0.20593,3.1012,0,2.7358,0,0.01725,0.02025,0.0162,0.345,0.5,0.015,-0.24,0,0,0,0,0,0,0,1,0
2DPAAQ,OPS59,-0.19071,2.9778,0,2.4274,0,0.0075,0.0375,0.03,0.575,0.6,0.015,-0.46,0,0,0,0,0,0,0,1,0
2DPASF,OPS60,-0.19054,3.8676,0.907,3.2936,2.9746,0.5472,0.3192,0.4256,1.13,1.52,-0.19,0.22,0,0,0,0,0,0,0,1,0
2tBuDPASF,OPS61,-0.18418,3.8148,0.9369,3.2521,3.2162,0.54,0.312,0.4108,1.12,1.42,-0.19,0.1,0,0,0,0,0,0,0,1,1
2MeDPASF,OPS62,-0.18439,3.8224,0.9468,3.2533,3.1821,0.5428,0.3245,0.4455,1.14,1.47,-0.22,0.13,0,0,0,0,0,0,0,1,0
CF3PhDPZ,OPS63,-0.1619,3.3175,0,2.9345,0,0.03225,0.0225,0.018,0.375,0.73,0.015,-0.92,0,0,0,0,0,0,0,1,15
OMePhDPZ,OPS64,-0.14485,3.4138,0,2.897,0,0.039,0.03525,0.0282,0.545,0.99,0.015,-0.94,0,0,0,0,0,0,0,1,1
NapDPZ,OPS65,-0.15201,3.3012,0,2.9882,0.0824,0.0756,0.0324,0.0108,0.36,0.6,0.12,-0.93,0,0,0,0,0,0,0,1,10
3DPA2FBN,OPS66,-0.18763,3.3289,0.2519,2.9793,3.1025,0.261,0.1218,0.1113,0.79,0.66,0.05,-0.06,0,0,0,0,0,0,0,1,65
5CzBN,OPS67,-0.20063,3.5356,0.2762,3.2477,4.9407,0.4416,0.1035,0.0855,0.84,0.79,0.12,0.21,0,0,0,0,0,0,0,1,79
2DPABz,OPS68,-0.19069,3.0227,0.0037,2.5871,0.3529,0.03,0.095,0.0646,0.63,0.5,0.08,-0.36,0,0,0,0,0,0,0,1,0
DPABT,OPS69,-0.18556,3.5717,1.3009,2.8871,6.0432,0.568,0.608,0.7372,1.56,1.47,-0.17,0.32,0,0,0,0,0,0,0,1,1
PhPNZ,OPS70,-0.16899,3.9776,0.035,3.3033,0.7966,0.2772,0.2044,0.1679,1.01,1.72,0.05,-0.72,0,0,0,0,0,0,0,1,0
PhPTZ,OPS71,-0.16887,3.713,0.0109,3.1473,0.2434,0.1785,0.1134,0.0972,0.75,1.39,0.03,-0.78,0,0,0,0,0,0,0,1,0
ph_bPTZ,OPS72,-0.17426,3.7625,0.223,3.1359,4.6819,0.5808,0.4488,0.3468,1.34,1.56,0.15,-0.35,0,0,0,0,0,0,0,1,7
9_10_DPA,OPS73,-0.1872,3.639,0.3496,2.3196,0,0.05925,0.07275,0.5917,1.045,1.76,-0.535,0.01,0,0,0,0,0,0,0,1,0
9_10_DAA,OPS74,-0.18384,3.6356,0.3763,2.318,0,0.0585,0.072,0.6048,1.035,1.74,-0.555,-0.07,0,0,0,0,0,0,0,1,0
perylene,OPS75,-0.18188,3.196,0.791,2.0783,0,0.02325,0.06825,0.6643,0.985,1.22,-0.655,-0.01,0,0,0,0,0,0,0,1,0
9_10_DCA,OPS76,-0.22657,3.2747,0.3366,2.003,0,0.03,0.069,0.552,0.995,1.32,-0.525,0.46,0,0,0,0,0,0,0,1,0
3_5_diMePh_PDI,OPS77,-0.21763,2.7184,1.4659,1.7085,0,0.0015,0.06375,0.85,0.925,0.87,-0.925,0.82,0,0,0,0,0,0,0,1,0
Ph_NDI,OPS78,-0.25262,3.8271,0.7675,2.544,0,0.06975,0.0705,0.6486,1.015,1.87,-0.615,0.6,0,0,0,0,0,0,0,1,9
Me_TAPB,OPS79,-0.17326,4.3833,0.0682,3.4449,0.1341,0.19,0.1596,0.2268,1.03,1.84,-0.08,-0.6,0,0,0,0,0,0,0,1,0
Ph_TAPB,OPS80,-0.17898,3.9438,1.3806,3.285,0.3321,0.2254,0.161,0.686,0.93,1.68,-0.75,0.19,0,0,0,0,0,0,0,1,0
C_152,OPS81,-0.20751,3.7816,0.7682,2.6801,5.4744,0.6675,0.6525,0.609,1.62,1.76,0.05,0.46,0,0,0,0,0,0,0,1,0
C_337,OPS82,-0.20649,3.5379,1.1187,2.4312,5.2209,0.4615,0.6319,0.7565,1.6,1.54,-0.14,0.58,0,0,0,0,0,0,0,1,0
C_498,OPS83,-0.20665,3.6474,1.017,2.5708,5.6988,0.6156,0.6536,0.7138,1.62,1.67,-0.07,0.57,0,0,0,0,0,0,0,1,0
phenylfluorone,OPS84,-0.19595,3.3306,1.1776,1.9477,1.8833,0.2024,0.4356,0.891,1.43,1.45,-0.46,0.44,0,0,0,0,0,0,0,1,0
resorufin,OPS85,-0.21805,3.2432,0.9273,1.911,1.9519,0.1575,0.441,0.7644,1.43,1.33,-0.33,0.61,0,0,0,0,0,0,0,1,0
9_fluorenone,OPS86,-0.2289,3.3452,0,2.9589,2.8037,0.2585,0.1705,0.0186,0.86,0.78,0.49,-0.06,0,0,0,0,0,0,0,1,2
9_10_phenanthrenequinone,OPS87,-0.24277,2.5098,0,2.113,1.7136,0.0043,0.1462,0.0204,0.77,0.35,0.37,-0.05,0,0,0,0,0,0,0,1,0
BTPM,OPS88,-0.24919,3.7116,0.0017,3.2585,0.7872,0.2268,0.1053,0.0624,0.66,1.23,0.11,0.06,0,0,0,0,0,0,0,1,0
2ClTX,OPS89,-0.22351,3.8152,0,3.1183,2.4125,0.4823,0.4081,0.0462,1.3,1.68,0.47,-0.1,0,0,0,0,0,0,0,1,1
anthraquinone,OPS90,-0.25708,3.2605,0,2.885,0,0.0285,0.02175,0.0174,0.365,0.67,0.015,-0.02,0,0,0,0,0,0,0,1,0
Me_bodipy,OPS91,-0.19705,3.0735,0.9376,1.7646,1.3484,0.0646,0.323,0.76,1.29,1.14,-0.46,0.38,0,0,0,0,0,0,0,1,0
Et_bodipy,OPS92,-0.19047,2.9757,0.965,1.6996,1.4103,0.0333,0.3441,0.7626,1.3,1.02,-0.45,0.27,0,0,0,0,0,0,0,1,0
CN_bodipy,OPS93,-0.20579,2.7287,0.9114,1.2362,2.053,0.0196,0.49,0.77,1.49,1.04,-0.28,0.46,0,0,0,0,0,0,0,1,0
TPP+,OPS94,-0.35572,3.3873,0.7073,2.6833,4.496,0.315,0.4914,0.5304,1.41,1.28,-0.05,0.65,0,0,0,0,0,0,0,1,1
Me_TPP+,OPS95,-0.33934,3.2455,0.7821,2.5927,5.2347,0.2592,0.4968,0.4968,1.41,1.05,0,0.68,0,0,0,0,0,0,0,1,2
