Name,ID,HOMO,E_S1,f_S1,E_T1,dEST,dDM,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzIPN,OPS1,-0.20639,3.262,0.185,3.033,0.229,4.7544,1,0,0,0,41
4tBuCzIPN,OPS2,-0.19621,3.1887,0.1207,2.9803,0.2084,6.4563,1,0,0,0,62
4MeCzIPN,OPS3,-0.19686,3.1729,0.1881,2.9538,0.2191,5.2836,1,0,0,0,40
4BrCzIPN,OPS4,-0.2236,3.1927,0.1235,3.0271,0.1656,6.287,1,0,0,0,35
4OMeCzIPN,OPS5,-0.1854,3.0441,0.1658,2.8555,0.1886,6.3647,1,0,0,0,24
4PhCzIPN,OPS6,-0.19569,3.1279,0.0199,3.0439,0.084,10.3465,1,0,0,0,41
4DPAIPN,OPS7,-0.19312,3.1324,0.1749,2.7578,0.3746,5.8383,1,0,0,0,63
4tBuDPAIPN,OPS8,-0.18604,3.0323,0.1249,2.7092,0.3231,6.9916,1,0,0,0,54
4MeDPAIPN,OPS9,-0.17956,3.0266,0.2025,2.7414,0.2852,5.4777,1,0,0,0,57
4FDPAIPN,OPS10,-0.19846,3.0458,0.1753,2.6241,0.4217,2.7916,1,0,0,0,70
4ClDPAIPN,OPS11,-0.21058,3.0915,0.2171,2.8025,0.289,4.8527,1,0,0,0,66
4BrDPAIPN,OPS12,-0.21247,3.0949,0.1964,2.7429,0.352,5.9765,1,0,0,0,58
3CzClIPN,OPS13,-0.21353,3.197,0.1616,3.0508,0.1462,1.698,1,0,0,0,34
3tBuCzClIPN,OPS14,-0.20437,3.2311,0.1443,2.9647,0.2664,5.5488,1,0,0,0,55
3OMeCzClIPN,OPS15,-0.19139,3.0702,0.15,2.816,0.2542,6.1678,1,0,0,0,27
4CzPN,OPS16,-0.20875,3.3208,0.0603,2.9977,0.3231,8.1375,1,0,0,0,33
4DPAPN,OPS17,-0.19091,3.1116,0.0363,2.7239,0.3877,7.1007,1,0,0,0,40
4CzTPN,OPS18,-0.20627,3.083,0.2632,2.86,0.223,0.0023,1,0,0,0,42
4DPATPN,OPS19,-0.18716,2.8199,0.2384,2.4316,0.3883,1.1653,1,0,0,0,60
1CzTRZ,OPS20,-0.19896,3.8438,0.8106,3.3406,0.5032,10.618,1,0,0,0,33
1tBuCzTRZ,OPS21,-0.19256,3.7237,0.8453,3.262,0.4617,12.6968,1,0,0,0,38
1DPATRZ,OPS22,-0.18787,3.5635,1.1287,2.9505,0.613,10.481,1,0,0,0,34
1tBuDPATRZ,OPS23,-0.18284,3.4961,1.167,2.896,0.6001,11.4943,1,0,0,0,30
1ClDPATRZ,OPS24,-0.19729,3.6168,1.114,3.022,0.5948,10.0814,1,0,0,0,35
1BrDPATRZ,OPS25,-0.19686,3.6164,1.1245,3.0295,0.5869,9.9429,1,0,0,0,32
1OMeDPATRZ,OPS26,-0.17664,3.4627,1.1816,2.8529,0.6098,11.8605,1,0,0,0,30
1PhDPATRZ,OPS27,-0.18459,3.4584,1.2285,2.9161,0.5423,10.9955,1,0,0,0,34
1PTZTRZ,OPS28,-0.18237,3.552,0.0001,3.4653,0.0867,8.0495,1,0,0,0,37
2CzBP,OPS29,-0.20318,3.7099,0.0185,3.2,0.5099,0.1285,1,0,0,0,23
2DMABP,OPS30,-0.18839,3.8921,0.0113,3.2177,0.6744,1.3981,1,0,0,0,24
2DPABP,OPS31,-0.18647,3.6117,1.1705,3.0476,0.5641,2.221,1,0,0,0,27
2tBuDPABP,OPS32,-0.18033,3.5525,1.2289,3.0124,0.5401,2.6577,1,0,0,0,30
2MeDPABP,OPS33,-0.18065,3.5628,1.2249,3.0017,0.5611,2.8512,1,0,0,0,25
2ClDPABP,OPS34,-0.19983,3.6407,1.1958,3.0588,0.5819,2.2934,1,0,0,0,22
2BrDPABP,OPS35,-0.19934,3.6355,1.2161,3.061,0.5745,2.2171,1,0,0,0,19
2PhDPABP,OPS36,-0.18364,3.4923,1.3807,3.0058,0.4865,2.4829,1,0,0,0,29
2CzPN,OPS37,-0.21407,3.5246,0.1345,3.1201,0.4045,8.9235,1,0,0,0,40
