,Name,ID,Yield,Pred_Yield
0,3DPA2FBN,OPS66,65,64.03909443728352
1,1DPATRZ,OPS22,34,42.529539277033194
2,BTPM,OPS88,0,1.6029430756983303
3,4DPAIPN,OPS7,74,74.12692631562763
4,2DPAN,OPS47,1,3.742768041296655
5,perylene,OPS75,0,5.159807738882128
6,CF3PTZN,OPS45,49,50.40086783864968
7,2tBuDPASF,OPS61,1,-3.532074262639937
8,9_10_DPA,OPS73,0,-0.17705942272995795
9,4PhCzIPN,OPS6,22,40.88928917828676
10,2MeDPAN,OPS49,1,5.043868321258397
11,3OMeCzClIPN,OPS15,0,20.348058979299303
12,Acr+_Ph,OPS98,2,-0.5937611752002993
13,2tBuDPAN,OPS48,1,11.762252938499978
14,3MeDPANB,OPS56,0,-3.19782367469504
15,9_fluorenone,OPS86,2,4.169659158766023
16,2MeDPAA,OPS52,0,4.220635695151971
17,biphenylPNZN,OPS42,62,31.02122722831493
18,1OMeDPATRZ,OPS26,12,31.404472110512277
19,1tBuDPAN,OPS40,0,0.8462151273149396
20,2MeDPABP,OPS33,43,56.023391874251814
21,Ph_NDI,OPS78,9,-1.4557733027771977
22,TPP+,OPS94,1,-0.3518764546445911
23,DPABT,OPS69,1,1.2170083089993977
24,4CzTPN,OPS18,13,11.269812135062406
25,Ph_TAPB,OPS80,0,2.911177721488953
26,9_10_DAA,OPS74,0,1.112628013879811
27,C_152,OPS81,0,0.9913891204496322
28,anthraquinone,OPS90,0,-1.116468450342589
29,3_5_diMePh_PDI,OPS77,0,-1.3595038851097747
30,4BrDPAIPN,OPS12,74,77.78676296260076
31,2ClCzPN,OPS39,29,15.028347633230835
32,2tBuCzPN,OPS38,56,36.977527385594385
33,Me_bodipy,OPS91,0,0.9083929903933512
34,Acr+_Mes,OPS99,1,-0.39845659075891493
35,5CzBN,OPS67,79,60.285372735984794
36,C_337,OPS82,0,6.005823265803712
37,OMe_TPP+,OPS96,2,5.789661352288009
38,1tBuCzTRZ,OPS21,6,27.179757688224456
39,2CzBP,OPS29,2,4.024562271530688
40,2BrDPABP,OPS35,42,41.87350003269122
41,2CzPN,OPS37,24,33.37329504174837
42,3DPANB,OPS55,2,-1.2040462188396923
43,CN_bodipy,OPS93,0,-0.472241903570199
44,4tBuCzIPN,OPS2,47,57.292553321900506
45,2PhDPABP,OPS36,58,72.52903663652864
46,9_10_DCA,OPS76,0,0.1956561909273263
47,2DPABz,OPS68,0,1.5457920904239244
48,4MeCzIPN,OPS3,37,49.92903141666312
49,4CzIPN,OPS1,74,64.8577348725011
50,4ClDPAIPN,OPS11,78,78.7246933848018
51,CF3PhDPZ,OPS63,15,1.1704154770098785
52,phenylfluorone,OPS84,0,-0.48544800262872695
53,4BrCzIPN,OPS4,55,46.357800117054325
54,4CzPN,OPS16,58,41.59297767651383
55,2CzAQ,OPS58,0,-0.2895864200197642
56,PTZN,OPS43,1,2.306220098009533
57,9_10_phenanthrenequinone,OPS87,0,-1.638738136376049
58,2DPAA,OPS50,0,4.980956951104816
59,3CzNB,OPS54,0,-1.0728067911557806
60,1BrDPATRZ,OPS25,24,46.332589122444055
61,4DPATPN,OPS19,2,23.761025425425956
62,4FDPAIPN,OPS10,71,76.3822454674216
63,resorufin,OPS85,0,-0.1822233218766492
64,3CzClIPN,OPS13,75,49.07435936245948
65,2tBuDPAA,OPS51,0,3.8983523573407575
66,Et_bodipy,OPS92,0,1.0251873214741014
67,1ClDPATRZ,OPS24,11,46.16241316617591
68,Me_TPP+,OPS95,2,-1.5562940359250264
69,3tBuCzClIPN,OPS14,49,54.046552617947604
70,1PTZTRZ,OPS28,2,15.465848120132021
71,4DPAPN,OPS17,6,31.5656542777066
72,2DMABP,OPS30,0,2.922527513302714
73,Me_TAPB,OPS79,0,0.7026279405131065
74,ph_bPTZ,OPS72,7,0.0226102641246802
75,PhPNZ,OPS70,0,0.19787056021048388
76,PNZN,OPS41,3,2.6847933882166672
77,3_6_tBu_10_ph_Acr+_Mes,OPS100,2,-1.2388975986695812
78,2tBuDPABP,OPS32,51,59.06862364780138
79,2DPAB,OPS46,0,0.8585277262829794
80,4tBuDPAIPN,OPS8,17,15.23516852750305
81,OMePhDPZ,OPS64,1,0.11838518011654725
82,3BrDPANB,OPS57,8,8.674288626998896
83,PhPTZ,OPS71,0,2.0163841924843235
84,2OMeDPAA,OPS53,0,1.3155853201704224
85,Acr+,OPS97,2,-0.43030433089598535
86,NapDPZ,OPS65,10,1.258401186550253
87,2MeDPASF,OPS62,0,-2.9720612960338166
88,2ClTX,OPS89,1,4.776974605961474
89,2DPASF,OPS60,0,-4.950130545188656
