Name,ID,HOMO,LUMO,E_S1,f_S1,E_T1,dDM,P(dDM) * P(E_S1),P(dDM) * P(E_T1),P(dDM) * P(HOMO),P(dDM) + P(HOMO),P(E_T1) - P(f_S1),P(E_S1) / P(E_T1),P(E_T1) / P(f_S1),Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
4CzIPN,OPS1,-0.20639,-0.0888,3.262,0.185,3.033,14.2242,0.3432,0.616,0.2464,1.16,0.26,0.557142857,1.590909091,0,0,0,1,74
4tBuCzIPN,OPS2,-0.19621,-0.08203,3.1887,0.1207,2.9803,17.0602,0.2668,0.5428,0.414,1.37,0.27,0.491525424,1.84375,0,0,0,1,47
4MeCzIPN,OPS3,-0.19686,-0.08286,3.1729,0.1881,2.9538,15.6786,0.2548,0.5005,0.39585,1.345,0.1,0.509090909,1.222222222,0,0,0,1,37
4BrCzIPN,OPS4,-0.2236,-0.11433,3.1927,0.1235,3.0271,8.3097,0.216,0.4896,0.108,0.87,0.35,0.441176471,2.060606061,0,0,0,1,55
4OMeCzIPN,OPS5,-0.1854,-0.07855,3.0441,0.1658,2.8555,7.2548,0.1005,0.2948,0.4422,1.33,0.03,0.340909091,1.073170732,0,0,0,1,0
4PhCzIPN,OPS6,-0.19569,-0.09205,3.1279,0.0199,3.0439,20.3008,0.24,0.6912,0.4512,1.43,0.51,0.347222222,3.428571429,0,0,0,1,22
4DPAIPN,OPS7,-0.19312,-0.07487,3.1324,0.1749,2.7578,6.2,0.1664,0.2368,0.3072,1.12,-0.05,0.702702703,0.880952381,0,0,0,1,74
4tBuDPAIPN,OPS8,-0.18604,-0.07053,3.0323,0.1249,2.7092,7.4625,0.0966,0.2139,0.4347,1.32,-0.03,0.451612903,0.911764706,0,0,0,1,17
4MeDPAIPN,OPS9,-0.17956,-0.06622,3.0266,0.2025,2.7414,6.204,0.0845,0.221,0.507,1.43,-0.14,0.382352941,0.708333333,0,0,0,1,29
4FDPAIPN,OPS10,-0.19846,-0.08545,3.0458,0.1753,2.6241,8.538,0.1184,0.2072,0.296,1.14,-0.15,0.571428571,0.651162791,0,0,0,1,71
4ClDPAIPN,OPS11,-0.21058,-0.09706,3.0915,0.2171,2.8025,11.4693,0.1743,0.3237,0.1826,1.05,-0.1,0.538461538,0.795918367,0,0,0,1,78
4BrDPAIPN,OPS12,-0.21247,-0.09943,3.0949,0.1964,2.7429,6.0432,0.1364,0.217,0.1302,0.83,-0.12,0.628571429,0.744680851,0,0,0,1,74
3CzClIPN,OPS13,-0.21353,-0.09727,3.197,0.1616,3.0508,6.0861,0.2016,0.4662,0.126,0.83,0.34,0.432432432,1.85,0,0,0,1,75
3tBuCzClIPN,OPS14,-0.20437,-0.09025,3.2311,0.1443,2.9647,7.3891,0.2312,0.3876,0.2244,1.01,0.19,0.596491228,1.5,0,0,0,1,49
3OMeCzClIPN,OPS15,-0.19139,-0.08693,3.0702,0.15,2.816,10.7946,0.136,0.32,0.4,1.3,0.01,0.425,1.025641026,0,0,0,1,0
4CzPN,OPS16,-0.20875,-0.09408,3.3208,0.0603,2.9977,23.532,0.4268,0.6014,0.2231,1.2,0.37,0.709677419,2.48,0,0,0,1,58
4DPAPN,OPS17,-0.19091,-0.07659,3.1116,0.0363,2.7239,24.7422,0.2352,0.3136,0.4998,1.49,0.08,0.75,1.333333333,0,0,0,1,6
4CzTPN,OPS18,-0.20627,-0.0993,3.083,0.2632,2.86,0.0025,0.03,0.0675,0.0435,0.44,-0.1,0.444444444,0.818181818,0,0,0,1,13
4DPATPN,OPS19,-0.18716,-0.07998,2.8199,0.2384,2.4316,1.1786,0.015,0.066,0.183,0.91,-0.3,0.227272727,0.423076923,0,0,0,1,2
1CzTRZ,OPS20,-0.19896,-0.07101,3.8438,0.8106,3.3406,7.781,0.658,0.686,0.273,1.09,0.24,0.959183673,1.324324324,0,0,0,1,1
1tBuCzTRZ,OPS21,-0.19256,-0.06941,3.7237,0.8453,3.262,12.5004,0.731,0.7735,0.4165,1.34,0.16,0.945054945,1.213333333,0,0,0,1,6
1DPATRZ,OPS22,-0.18787,-0.06162,3.5635,1.1287,2.9505,13.9532,0.609,0.4698,0.5046,1.45,-0.33,1.296296296,0.620689655,0,0,0,1,34
1tBuDPATRZ,OPS23,-0.18284,-0.05984,3.4961,1.167,2.896,11.3583,0.5002,0.3936,0.5904,1.54,-0.4,1.270833333,0.545454545,0,0,0,1,39
1ClDPATRZ,OPS24,-0.19729,-0.06844,3.6168,1.114,3.022,9.7855,0.585,0.5148,0.3198,1.19,-0.18,1.136363636,0.785714286,0,0,0,1,11
1BrDPATRZ,OPS25,-0.19686,-0.06856,3.6164,1.1245,3.0295,8.5219,0.5402,0.5037,0.31755,1.165,-0.17,1.072463768,0.802325581,0,0,0,1,24
1OMeDPATRZ,OPS26,-0.17664,-0.05799,3.4627,1.1816,2.8529,11.5369,0.4788,0.3612,0.7056,1.68,-0.48,1.325581395,0.472527473,0,0,0,1,12
1PhDPATRZ,OPS27,-0.18459,-0.06306,3.4584,1.2285,2.9161,12.5267,0.4816,0.4386,0.5762,1.53,-0.44,1.098039216,0.536842105,0,0,0,1,26
1PTZTRZ,OPS28,-0.18237,-0.07461,3.552,0.0001,3.4653,1.9025,0.2412,0.36,0.2628,1.09,0.875,0.67,8,0,0,0,1,2
2CzBP,OPS29,-0.20318,-0.07263,3.7099,0.0185,3.2,4.1741,0.4565,0.4675,0.187,0.89,0.65,0.976470588,4.25,0,0,0,1,2
2DMABP,OPS30,-0.18839,-0.03296,3.8921,0.0113,3.2177,2.1279,0.388,0.344,0.228,0.97,0.67,1.127906977,4.526315789,0,0,0,1,0
2DPABP,OPS31,-0.18647,-0.05342,3.6117,1.1705,3.0476,10.5855,0.5688,0.5767,0.4898,1.41,-0.16,0.98630137,0.820224719,0,0,0,1,47
2tBuDPABP,OPS32,-0.18033,-0.04947,3.5525,1.2289,3.0124,3.2452,0.34,0.325,0.38,1.26,-0.31,1.046153846,0.677083333,0,0,0,1,51
2MeDPABP,OPS33,-0.18065,-0.04943,3.5628,1.2249,3.0017,3.4051,0.3519,0.3213,0.3825,1.26,-0.31,1.095238095,0.670212766,0,0,0,1,43
2ClDPABP,OPS34,-0.19983,-0.06696,3.6407,1.1958,3.0588,2.4965,0.344,0.3268,0.1591,0.8,-0.16,1.052631579,0.826086957,0,0,0,1,47
2BrDPABP,OPS35,-0.19934,-0.06713,3.6355,1.2161,3.061,2.3507,0.3234,0.3234,0.1596,0.8,-0.16,1,0.827956989,0,0,0,1,42
2PhDPABP,OPS36,-0.18364,-0.05648,3.4923,1.3807,3.0058,3.0055,0.282,0.3008,0.3337,1.18,-0.35,0.9375,0.646464646,0,0,0,1,58
2CzPN,OPS37,-0.21407,-0.09152,3.5246,0.1345,3.1201,9.4021,0.4774,0.6237,0.1463,0.96,0.45,0.765432099,2.25,0,0,0,1,24
2tBuCzPN,OPS38,-0.20513,-0.08754,3.3855,0.1164,3.0249,11.1744,0.3969,0.5427,0.2592,1.13,0.37,0.731343284,2.233333333,0,0,0,1,56
2ClCzPN,OPS39,-0.22798,-0.10735,3.5473,0.1024,3.1826,9.159,0.5016,0.6384,0.0988,0.89,0.55,0.785714286,2.896551724,0,0,0,1,29
1tBuDPAN,OPS40,-0.17692,-0.03796,3.7082,0.2172,3.0394,3.7622,0.4264,0.3692,0.4316,1.35,0.21,1.154929577,1.42,0,0,0,1,0
PNZN,OPS41,-0.17142,-0.04905,3.5257,0,3.3342,0.4707,0.1638,0.2522,0.234,1.16,0.91,0.649484536,16.16666667,0,0,0,1,3
biphenylPNZN,OPS42,-0.17067,-0.05197,3.4578,0.0005,2.9913,2.5192,0.242,0.2684,0.4004,1.35,0.46,0.901639344,4.066666667,0,0,0,1,62
PTZN,OPS43,-0.17982,-0.04987,3.76,0.0003,3.3275,0.3944,0.2088,0.2304,0.1848,1.01,0.82,0.90625,6.857142857,0,0,0,1,1
biphenylPTZN,OPS44,-0.17757,-0.05224,3.6231,0.4335,3.118,1.5614,0.2432,0.2528,0.2592,1.13,0.12,0.962025316,1.179104478,0,0,0,1,76
CF3PTZN,OPS45,-0.18961,-0.0591,3.6146,0.3629,3.1037,2.5205,0.3285,0.351,0.252,1.01,0.16,0.935897436,1.258064516,0,0,0,1,49
2DPAB,OPS46,-0.16958,-0.01609,3.8658,0.0227,3.291,0,0.0665,0.0651,0.0651,1,0.71,1.021505376,4.227272727,0,0,0,1,0
2DPAN,OPS47,-0.17654,-0.04474,3.4914,0.4022,2.8244,1.4327,0.1829,0.1271,0.2635,1.16,-0.24,1.43902439,0.630769231,0,0,0,1,1
2tBuDPAN,OPS48,-0.17028,-0.04135,3.4103,0.4193,2.784,1.6598,0.1683,0.1254,0.3036,1.25,-0.28,1.342105263,0.575757576,0,0,0,1,1
2MeDPAN,OPS49,-0.16909,-0.04084,3.3744,0.4004,2.7522,1.6989,0.1632,0.1224,0.3196,1.28,-0.28,1.333333333,0.5625,0,0,0,1,1
2DPAA,OPS50,-0.17836,-0.06945,2.9725,0.2857,2.1241,0,0.0056,0.0091,0.056,0.87,-0.46,0.615384615,0.220338983,0,0,0,1,0
2tBuDPAA,OPS51,-0.17252,-0.0666,2.8792,0.2813,2.1027,0.0173,0.0112,0.0176,0.1408,1.04,-0.47,0.636363636,0.189655172,0,0,0,1,0
2MeDPAA,OPS52,-0.17204,-0.06625,2.8733,0.2734,2.1007,0.068,0.0102,0.017,0.1513,1.06,-0.46,0.6,0.178571429,0,0,0,1,0
2OMeDPAA,OPS53,-0.16348,-0.0643,2.7205,0.254,2.0389,0,0.0021,0.0056,0.0679,1.04,-0.46,0.375,0.148148148,0,0,0,1,0
3CzNB,OPS54,-0.20716,-0.08754,3.4177,0.0669,3.0551,0.5725,0.1431,0.2025,0.0675,0.52,0.49,0.706666667,2.884615385,0,0,0,1,0
3DPANB,OPS55,-0.18594,-0.06772,3.1973,0.0899,2.9176,4.8589,0.1914,0.3016,0.3712,1.22,0.24,0.634615385,1.857142857,0,0,0,1,2
3MeDPANB,OPS56,-0.17746,-0.05853,3.1371,0.1188,2.832,5.6978,0.162,0.252,0.492,1.42,0.11,0.642857143,1.35483871,0,0,0,1,0
3BrDPANB,OPS57,-0.20296,-0.08203,3.2471,0.1278,2.8964,14.5128,0.333,0.441,0.315,1.25,0.14,0.755102041,1.4,0,0,0,1,8
2CzAQ,OPS58,-0.20593,-0.1085,3.1012,0,2.7358,0,0.0161,0.0231,0.021,0.37,0.27,0.696969697,5.5,0,0,0,1,0
2DPAAQ,OPS59,-0.19071,-0.08747,2.9778,0,2.4274,0,0.007,0.014,0.0364,0.59,0.14,0.5,3.333333333,0,0,0,1,0
2DPASF,OPS60,-0.19054,-0.04376,3.8676,0.907,3.2936,4.1231,0.5184,0.5076,0.2916,1.08,0.18,1.021276596,1.236842105,0,0,0,1,0
2tBuDPASF,OPS61,-0.18418,-0.03958,3.8148,0.9369,3.2521,19.7758,0.846,0.8272,0.6486,1.63,0.09,1.022727273,1.113924051,0,0,0,1,1
